Title,Release Year,Parent Rating,genre,Summary,Writers,Stars,Direcctor
Chief Daddy,2018,,Comedy,"'Chief Daddy' tells the story of billionaire industrialist Chief Beecroft, a flamboyant benefactor to a large extended family of relatives, household staff, and assorted mistresses. Chief lives large, like there's no tomorrow, until the day there is no tomorrow--he dies suddenly and the 'bullion van' stops. What's in his will, and who gets all that money? Will Chief D... Read all","Mo Abudu, Temidayo Abudu, Bode Asiyanbi","Bisola Aiyeola, Dakore Akande, Funke Akindele",Niyi Akinmolayan
Aquaman,2018,12A,"Action, Adventure, Fantasy","Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.","David Leslie Johnson-McGoldrick, Will Beall, Geoff Johns","Jason Momoa, Amber Heard, Willem Dafoe",James Wan
Aquaman,,,Talk-Show,"Jason Momoa, Amber Heard, Patrick Wilson, and director James Wan reveal their secret superpowers to IMDb, and talk about the most thrilling parts of filming 'Aquaman.'",,"Amber Heard, Jason Momoa, James Wan",
Aquaman,2006,,"Action, Adventure, Drama",A young twenty-something diver living in the Florida Keys discovers he has the power to breathe underwater.,"Alfred Gough, Miles Millar, Paul Norris","Justin Hartley, Lou Diamond Phillips, Denise Quiñones",Greg Beeman
Aquaman,1967–1969,,"Animation, Action, Adventure",The adventures of the aquatic superhero and his friends.,,"Diana Maddox, Pat Harrington Jr., Ted Knight",
Spider-Man Re-Animate,,,"Animation, Short, Comedy","Animators from all over the province spent the past year re-creating this episode by re-making all the scenes from the episode in their own personal styles. Produced for the 2015-2016 'Nocturne At Night' Arts Festival, in collaboration with the Digital Animators of Nova Scotia. Based upon the classic 1967 Spiderman episode 'Vulture's Prey'. 'SPIDER-MAN RE-ANIMATE' was... Read all",,Ron Doucet,
Brothers: A Tale of Two Sons,2013,,"Adventure, Drama, Fantasy",An emotional account of two brothers journey into the wild to bring the medicine for their father's ailment.,Josef Fares,"Norea Sjöquist, Carl-Magnus Lilljedahl, Kimberly Durley",Josef Fares
Anjaam Pathiraa,2020,Not Rated,"Crime, Mystery, Thriller","The police are on the trail of a serial killer, but with the victims being fellow officers, will they be able to catch the killer and solve the case in time?",Midhun Manuel Thomas,"Kunchacko Boban, Jinu Joseph, Unnimaya Prasad",Midhun Manuel Thomas
The Angry Birds Movie 2,2019,PG,"Animation, Action, Adventure",The flightless birds and scheming green pigs take their feud to the next level.,"Peter Ackerman, Eyal Podell, Jonathon E. Stewart","Jason Sudeikis, Josh Gad, Leslie Jones",Thurop Van Orman
Avengers: Endgame,2019,12A,"Action, Adventure, Drama","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","Christopher Markus, Stephen McFeely, Stan Lee","Robert Downey Jr., Chris Evans, Mark Ruffalo",Anthony Russo
Bumblebee,2018,15,"Action, Adventure, Sci-Fi","On the run in the year 1987, Bumblebee finds refuge in a junkyard in a small California beach town. On the cusp of turning 18 and trying to find her place in the world, Charlie Watson discovers Bumblebee, battle-scarred and broken.",Christina Hodson,"Hailee Steinfeld, Jorge Lendeborg Jr., John Cena",Travis Knight
